Name,Type,Notes
media centric ticketing,Class,"ticketing paradigm under which the product sold is held entirely on some form of local media and any validation and charging is done immediately against the cardâ€™s contents
"
pay as you go,Class,"type of reusable fare product giving the right to travel where the user is charged for access rights at the point of consumption or sometime after completing consumption,
"
post-paid ticketing,Class,"type of fare management according to which the user is charged at some time after using the transport service

"
prepaid ticketing,Class,"type of fare management according to which the user is charged for either a fare product (ticket) or a deposit prior to riding

"
price,Class,"value of fare or tariff


"
progressive fare,Class,"fare that increases in proportion to consumption of space and/or time

"
registration,Class,"enrolment of a customer as a user of a fare system


"
retailer,Class,"actor who sells products directly to the end customer (as opposed to a distributor)
"
roaming trip,Class,"customer trip using a single medium and/or fare product from one operator made entirely inside another operatorâ€™s PT network, in contrast to a local trip or an interlining

"
roaming fare product,Class,"fare product that is issued by one operator but valid on the network of another operator (in contrast to a local product)

"
static price,Class,"price that is precomputed and explicitly distributed, as opposed to a derived or dynamic price
"
status of consumption,Class,"status indicating whether a given access right included in a customer purchase has been activated, consumed, etc.

"
tap,Class,"industry term for the record of a customerâ€™s interaction with the system that may be collected for interoperable fare management including, in particular, any sort of validation entry returned with specific data from validation devices to the back office in an Account Based System
"
tap in / out,Class,"the process of using a mobile device or EMV card to interact with a NFC wireless validation device to check in or out (or at a waypoint) of a fare control system
"
validation,Class,"verification that an access right is valid, has been or is being consumed, and that this consumption is allowed, achieved by checking the validity of the passengerâ€™s travel rights and comparing them to the parameters collected by the previous inspections and/or inspection context
"
waypoint,Class,"an intermediate point along a route that a user making a trip may tap in at in order to prove that they followed a particular routing
"
,Text,
,Text,
PI Functional Requests MODELs [INFORMATIVE]],Package,
TD Trip Description MODELs,Package,
PI Passenger Information VIEWS,Package,
ProxyConnector,ProxyConnector,
ProxyConnector,ProxyConnector,
,Text,
,Text,
TD Passenger Trip Connection MODEL,Package,
TD Trip Duration MODEL,Package,
TD Passenger Trip MODEL,Package,
TD Passenger Travel MODEL,Package,
TD Passenger Fare Offer MODEL,Package,
TD Monitored Trip MODEL,Package,
TD Alternative Mode Trip MODEL,Package,
,Note,PERSONAL LEG will have PERSONAL MODE OF OPERATION
,Text,
,Note,ALTERNATIVE MODE LEGs will be for one of the specialisations of ALTERNATIVE MODE OF OPERATION
,Note,"PT RIDE LEGs will be for one of the specialisations of CONVENTIONAL MODEs OF OPERATION
"
,Note,CONNECTION LEG usually uses ACCESS MODEs
PT TRIP,Class,"A<font color=""#0f0f0f""> part of a TRIP PATTERN consisting of a continuous sequence of PT RIDE LEGs and CONNECTION LEGs.</font>
<font color=""#0f0f0f"">Note: IT must not contain any ACCESS LEGs or PERSONAL LEGs</font>"
PT RIDE LEG ,Class,"A part of a TRIP PATTERN corresponding to the movement of a user (passenger, driver) on one and only one public transport vehicle (such as a train bus, ferry) from one SCHEDULED STOP POINT to another, on one JOURNEY PATTERN operating in a conventional MODE OF OPERATION."
,Note,ACCESS LEG are normally in ACCESS MODEs.
LEG TRACK,Class,"The spatial projection of the leg as a set of coordinate points for a specific purpose., such as displaying it on a map."
PATH GUIDANCE,Class,An instruction to a passenger for an individual step when following a path between the start and the end of a TRANSFER LEG.
,Note,PT TRIP is made up of ACCESS LEGs and PT RIDE LEGs
TRIP REASON,Class,"A classification of a passenger's reason for undertaking a TRIP PATTERN, e.g., work commute, school pick up, shopping, etc."
NON-PT TRIP,Class,"A<font color=""#0f0f0f""> part of a TRIP PATTERN consisting of a continuous sequence of PERSONAL LEGs and TRANSFER LEGs.</font>
<font color=""#0f0f0f"">Note: IT must not contain any PT RIDE LEGs.</font>
"
,Text,
MIXED TRIP,Class,"A<font color=""#0f0f0f""> part of a TRIP PATTERN that mixes both PT RIDE LEGs and PERSONAL LEGs.</font>
"
TRIP PATTERN,Class,"A movement of a passenger (or another person, e.g., driver) from an origin to a destination PLACE, done for a specific TRIP REASON.
A TRIP PATTERN may consist of one or more consecutive TRIPs<font color=""#0f0f0f"">.</font>"
ACCESS LEG,Class,"A part of a TRIP PATTERN corresponding to the movement of a passenger when not on a public transport vehicle, from an origin PLACE to a SCHEDULED STOP POINT or VEHICLE MEETING POINT, or from a SCHEDULED STOP POINT or VEHICLE MEETING POINT to a destination PLACE. 
NOTE: May reference an ACCESS.
"
,Text,
,Text,
,Text,
,Text,
LEG,Class,"<font color=""#0f0f0f"">A part of a TRIP PATTERN corresponding to the movement of a user in a single vehicle, or a pedestrian mode such as walking.</font>
"
PERSONAL LEG ,Class,"A part of a TRIP PATTERN corresponding to the movement of a user from one PLACE to another, where the TRIP is made entirely by personal means, and neither of the endpoints is a SCHEDULED STOP POINT or VEHICLE MEETING POINT."
,Note,"PT RIDE LEG is in PT VEHICLE MODEs only.

"
,Text,
TRIP,Class,"A part of a TRIP PATTERN describing the movement of a passenger from one PLACE of any sort to another.
NOTE: A TRIP may consist of one or more consecutive LEGs having some common characteristics."
,Text,
RIDE LEG ,Class,"<font color=""#0f0f0f"">A part of a TRIP PATTERN corresponding to the movement of a user on one single vehicle in any public transport.</font>
"
TRANSFER LEG ,Class,"<font color=""#0f0f0f"">A part of a TRIP PATTERN corresponding to the TRANSFER of a user between two points located sufficiently close to include in a trip plan, e.g., for access or to make a connection.</font>
"
TRAVEL,Class,A sequence of TRIP PATTERNs made by a passenger.
TRAVELLING ENTITY,Class,A moving person or object following a TRIP PATTERN.
,Text,
TRAVEL FLOW,Class,A summary of the TRAVELs made by many passengers
TYPE OF TRAVELLING ENTITY,Class,"A classification of a TRAVELLING ENTITY, e.g., as person, family, cyclist, driver in car, tracked mobile phone, etc. 
"
TYPE OF PASSENGER,Class,A classification of passenger.
,Text,
,Text,
MONITORED LEG CALL PART,Class,A view that brings together data to present to a passenger making a specific MONITORED TRIP relating to the arrival to or the departure from a POINT IN JOURNEY PATTERN in a DATED VEHICLE JOURNEY. 
MONITORED TRIP PATTERN,Class,"A monitored passenger movement from an origin to a destination PLACE, consisting of one or more MONITORED LEGs undertaken in sequence.
"
MONITORED TRIP,Class,"A part of a MONITORED TRIP PATTERN corresponding to the movement of a passenger from one PLACE of any sort to another as one or more LEGS, possibly with some common characteristics"
,Text,
MONITORED LEG DEPARTURE,Class,A view that brings together data to present to the passenger making a specific MONITORED TRIP relating to the departure from a POINT IN JOURNEY PATTERN in a DATED VEHICLE JOURNEY. 
TRIP PATTERN MONITORING,Class,Real-time monitoring of a passenger movement to provide progress information for a passenger.
,Text,
MONITORED LEG CALL,Class,"Data to present to a passenger making a specific MONITORED TRIP relating to the status of an individual visit by a VEHICLE JOURNEY to a POINT IN JOURNEY PATTERN.
NOTE: May be for origin, destination, and intermediate points.
"
MONITORED LEG PROGRESS,Class,The relative progress of a passenger along a LEG. 
MONITORED LEG,Class,"A part of a MONITORED TRIP PATTERN corresponding to the movement of a user in a single vehicle, or a pedestrian mode such as walking.
"
MONITORED LEG ARRIVAL,Class,A view that brings together data to present to a passenger making a specific MONITORED TRIP relating to the arrival at a POINT IN JOURNEY PATTERN of a DATED VEHICLE JOURNEY. 
TRIP MONITORING LOG ENTRY,Class,"A record of computed information describing some aspect of how a certain LOGICAL VEHICLE performs in relation to the latest operation plan based on comparing information from detection devices with operational data.

"
,Text,
,Text,
,Text,
,Text,
,Text,
,Note,Diagram shows common parameters that characterise a PT FARE. Further parameters are possible.
,Note,Diagram shops common parameters that characterise a PT FARE. Further parameters are possible.
PASSENGER FARE OFFER,Class,"An available fare for a specific PT RIDE LEG in a PT TRIP or for the whole PT TRIP, or for the whole TRIP PATTERN.
NOTE: The fare may be restricted to particular products and conditions as described by SPECIFIC PARAMETER ASSIGNMENTs."
FARE OFFER PRICE,Class,"A set of all possible price features of a FARE OFFER, discount in value or percentage, etc."
,Text,
,Text,
,Note,"Mean Interchange time can be computed using most specific information available out of the following:
(1) Default Interchange time for MODE, any SITE (DEFAULT CONNECTION).
(2) Default Interchange time for specific SITE (SITE CONNECTION).
(3) Interchange time for specific CONNECTION.
(4) Specific Transfer Duration for specific NAVIGATION PATH, taking into account CHECK CONSTRAINTs for current VALIDITY CONDITION. 
"
,Text,
MEAN RUN TIME,Class,"An estimated value of the mean run time on a TIMING LINK, used to inform passengers on the mean duration of trips."
MEAN INTERCHANGE TIME,Class,"An estimated value of the mean time to make an INTERCHANGE, used to inform passengers on the mean duration of trips.
NOTE: May be derived from low level breakdown."
MEAN PASSENGER WAIT TIME,Class,"An estimated mean waiting time for a passenger at a SCHEDULED STOP POINT, used to calculate the approximate duration of a trip.
NOTE: This value is estimated from the mean interval between vehicles on a JOURNEY PATTERN or a COMMON SECTION."
,Text,
,Text,
,Text,
,Note,"<p align=""right"" dir=""rtl"">Definition to be extended since CONNECTION can now also go to Alternative Modes MEETING POINT WITH VEHICLE 
</p><p dir=""rtl"">&nbsp;</p>"
ALTERNATIVE MODE LEG,Class,"A part of a TRIP PATTERN corresponding to the movement of a user (passenger, driver) using an ALTERNATIVE MODE OF OPERATION from one PLACE to another and that is not an ACCESS LEG nor a CONNECTION LEG.
"
NOT MANDATORY,Boundary,
,Text,
,Text,
,Text,
TYPE OF GUARANTEE,Class,A classification of the type of guarantee offered for a given leg. 
CONNECTION LEG,Class,"A part of a TRIP PATTERN corresponding to the movement of a passenger transferring from one SERVICE JOURNEY to another, made over a CONNECTION from one SCHEDULED STOP POINT (or VEHICLE MEETING POINT) to another, and possibly following a specific NAVIGATION PATH<font color=""#0f0f0f"">.</font>"
,Text,
,Constraint,PT RIDE LEG is a CONVENTIONAL MODE OF OPERATION
QC Common Query MODEL,Package,
FQ Fare Product Query MODEL,Package,
QR Schedule Query MODEL,Package,
QR Stop Event Query MODEL,Package,
QR Location Query MODEL,Package,
QR Trip Query MODEL,Package,
QR Situation Query MODEL,Package,
FQ Stop Fare Query MODEL,Package,
QR Exchange Points Query MODEL,Package,
FQ Trip Fare Query MODEL ,Package,
QR Service Journey Query MODEL,Package,
QR Alternative Modes Trip Query MODEL,Package,
QR Offered Journeys Query MODEL,Package,
QR Single Journey Query MODEL,Package,
,Text,
QR Mobility Service Query MODEL,Package,
QR Organisation Query MODEL,Package,
QR Vehicle Type Query MODEL,Package,
PI REQUEST POLICY,Class,"<font color=""#0f0f0f"">Optimisation criteria to be used when computing and decorating the results for the PI REQUEST.</font>
"
PARTICIPANT SYSTEM,Class,"A SYSTEM supporting a service to fulfil specific types of PI REQUESTs.
NOTE: May be associated with one or more DATA SOURCEs."
,Text,
TYPE OF REQUEST,Class,A classification of PI REQUESTs.
,Text,
,Text,
,Text,
PI REQUEST FILTER,Class,"<font color=""#0f0f0f"">Filtering criteria to be used when computing the results for a PI REQUEST.</font>
"
PI REQUEST,Class,A request for specific information on public transport.
PI DELIVERY,Class,"A connection of a passenger to the operator information system, directly or via an employee, including one or several queries, and returning results."
,Note,Can be used to provide persistent values for request based on customer preferences and customer existing entitlements.
,Note,Existing products and entitlements already owned by the customer can be used to process and filter query results
,Note,Delivery includes the original request so that request parameters are available with delivery.
,Note,Specialisations of LOG ENTRY can record the outputs of the Request/Response
TripPointUsageType,Enumeration,Usage of Point
,Text,
,Text,
EXCHANGE POINTS REQUEST POLICY,Class,Optimisation criteria to be used to when executing an EXCHANGE POINT REQUEST.
EXCHANGE POINTS DELIVERY,Class,The result returned by an EXCHANGE POINTS REQUEST.
EXCHANGE POINTS REQUEST,Class,A PI REQUEST to find POINTs that can be used in distributed trip planning as common boundary SCHEDULED STOP POINTs between adjacent regions of separate data coverage.
,Text,
EXCHANGE POINTS REQUEST FILTER,Class,Filter parameters used to limit the results of the EXCHANGE POINTS REQUEST.
LOCATION DELIVERY,Class,A specialization of PI DELIVERY to make one or more LOCATION REQUESTs.
PLACE RESULT,Class,Information on a place returned as part of LOCATION DELIVERY.
LOCATION REQUEST,Class,A PI REQUEST to find a stop.
LOCATION PLACE FILTER,Class,Filter parameters used to limit the PLACE related results of the LOCATION REQUEST.
,Text,
LOCATION GEOMETRY RESTRICTION,Class,Filter parameters used to limit the spatial results of the LOCATION REQUEST.
LOCATION REQUEST POLICY,Class,Optimisation criteria to be used to when finding and decorating trip stops.
,Text,
,Text,
,Text,
STOP EVENT REQUEST,Class,A PI REQUEST about arrivals and departures from a given stop and/or LOGICAL DISPLAY at that stop.
,Text,
,Text,
STOP EVENT DELIVERY,Class,A specialization of PI DELIVERY to make one or more STOP EVENT REQUESTs.
,Text,
,Text,
STOP EVENT REQUEST POLICY,Class,Optimisation criteria to be used to when computing and decorating STOP EVENT REQUEST results.
STOP EVENT REQUEST CONTENT FILTER,Class,Filter parameters used to limit the results of the STOP EVENT REQUESTs.
,Text,
,Text,
,Text,
SCHEDULE REQUEST POLICY,Class,Optimisation criteria to be used to when computing and decorating SCHEDULE REQUEST results.
SCHEDULE DELIVERY,Class,A specialization of PI DELIVERY to make one or more SCHEDULE REQUESTs.
SCHEDULE REQUEST,Class,A PI REQUEST about public timetables.
SCHEDULE REQUEST CONTENT FILTER,Class,Filter parameters used to limit the results of the SCHEDULE REQUEST.
,Text,
TRIP PROFILE REQUIREMENTS,Class,"<font color=""#0f0f0f"">The number and characteristics of the persons wishing to travel</font>."
,Note,Parameters are equivalent to a TRAVEL SPECIFICATION 
,Text,
TRIP MOBILITY FILTER,Class,Filter parameters determined by accessibility criteria.
,Text,
TRIP REQUEST FILTER,Class,Filter parameters common to TRIP REQUESTs.
,Text,
,Note,"Origin, destination and via points may be identified as points, zones, stops, addresses, or as names,"
,Text,
TRIP DELIVERY,Class,A specialisation of PI DELIVERY to make one or more TRIP REQUESTs.
TRIP ACCESS CONSTRAINT,Class,"Parameters limiting the time and nature of the access leg used to reach the PT stop (e.g., to be able to specify ""Walk up to 5 minutes"", ""cycle up to 20 minutes"", ""drive up to 30 minutes"", etc.)."
TRIP DESTINATION PLACE,Class,A destination location for a TRIP REQUEST. 
TRIP REQUEST,Class,"A PI REQUEST to make an optimal trip proposal, according to a specified TRIP REQUEST POLICY."
TRIP VIA PLACE,Class,A routing location used to constrain the journeys returned; only VEHICLE JOURNEYs whose JOURNEY PATTERNs do or do not pass through the specified points will be returned.
TRIP ORIGIN PLACE,Class,"An origin location for a TRIP REQUEST. 
"
,Text,
TRIP REQUEST PLACE,Class,"Origin, destination or via locations of a trip subject of a TRIP REQUEST."
TRIP REQUEST POLICY,Class,Optimisation criteria to be used to when computing and decorating trip plans.
,Note,Travel time constraint: Leave by / Arrive by
,Note,"characteristics referring to the type of user, existing access rights, etc."
,Note,characteristics referring to accessibility requirements
,Text,
,Text,
SERVICE JOURNEY REQUEST,Class,A PI REQUEST to find information about a specific SERVICE JOURNEY.
,Text,
,Text,
SERVICE JOURNEY DELIVERY,Class,A specialisation of PI DELIVERY to respond to one or more SERVICE JOURNEY REQUESTs.
SERVICE JOURNEY REQUEST POLICY,Class,"<font color=""#0f0f0f"">Criteria to be used to when computing and decorating results for a </font>SERVICE JOURNEY REQUEST."
SERVICE JOURNEY REQUEST FILTER,Class,Filter parameters used to limit the results of the EXCHANGE POINTS REQUEST.
SITUATION REQUEST POLICY,Class,Optimisation criteria to be used to when finding SITUATIONs.
,Text,
,Text,
SITUATION REQUEST,Class,A PI REQUEST to find extant SITUATIONs.
,Text,
MESSAGE REQUEST FILTER,Class,Filter parameters used to limit the results of the SITUATION REQUEST.
,Text,
SITUATION DELIVERY,Class,The result returned by a SITUATION REQUEST.
SITUATION REQUEST FILTER,Class,Filter parameters used to limit the results of the SITUATION REQUEST.
TARIFF ZONE IN AREA,Class,Association of a Stop with a tariff Zone.
,Note,The fare product owner or other organisation(s) providing fare products for the tariff zone.
STOP FARE REQUEST,Class,A PI REQUEST to find the fares products for a stop.
,Text,
,Text,
,Text,
,Text,
STOP FARE DELIVERY,Class,A specialization of PI DELIVERY that returns the tariff zones for a stop.
STOP FARE REQUEST FILTER,Class,Parameters controlling the type of fares returned by a STOP FARE REQUEST.
STOP FARE REQUEST POLICY,Class,Optimisation criteria to be used when computing and decorating TRIP FARE REQUEST results.
FQ Common Trip Fare Query MODEL,Package,
FQ Single Trip Fare Query MODEL,Package,
FQ Repeated Trip Fare Query MODEL,Package,
,Text,
TRIP FARE REQUEST FILTER,Class,Parameters controlling the type of fares returned by a TRIP FARE REQUEST.
TRIP FARE REQUEST POLICY,Class,Optimisation criteria to be used when computing and decorating TRIP FARE REQUEST results.
TRIP FARE REQUEST,Class,A PI REQUEST about fares for a TRIP or TRIP LEG.
,Text,
,Text,
TRIP FARE DELIVERY,Class,A specialization of PI DELIVERY returning the results for a TRIP FARE REQUEST.
,Text,
,Note,"Different PARAMETER ASSIGNMENTs may be used separately in VALIDABLE ELEMENT, FARE PRODUCT, SALES OFFER PACKAGE, and CUSTOMER PURCHASE PACKAGE."
SINGLE TRIP FARE REQUEST,Class,A TRIP FARE REQUEST about fares for a single trip or return trip.
,Text,
,Text,
,Text,
,Note,"Characteristics referring to the type of user, existing access rights, etc."
,Note,"characteristics referring to the luggage: carry on, check-in etc"
,Note,Additional parameters can be specified using TRAVEL SPECIFICATION
,Note,"characteristics referring to the type of luggage: carry on, check-in etc"
REPEATED TRIP FARE REQUIREMENTS,Class,"<font color=""#0f0f0f"">The characteristics of a repeated trip, for example, number of trips per day, etc.</font>"
,Text,
,Text,
REPEATED TRIP FARE REQUEST,Class,A TRIP FARE REQUEST about the best fare products to use for repeated similar trips.
,Text,
,Text,
,Text,
FARE PRODUCT DELIVERY,Class,A specialization of PI DELIVERY that returns details of FARE PRODUCTS.
,Text,
,Text,
FARE PRODUCT REQUEST FILTER,Class,Parameters controlling the type of fares returned by a FARE PRODUCT REQUEST.
,Text,
FARE PRODUCT REQUEST,Class,A PI REQUEST to find details about a FARE PRODUCT or SALES OFFER PACKAGE.
FARE PRODUCT REQUEST POLICY,Class,Optimisation criteria to be used when computing and decorating FARE PRODUCT REQUEST results.
,Text,
,Text,
,Text,
,Note,Parameters are equivalent to a TRAVEL SPECIFICATION 
,Note,"Origin, destination and via points may be identified as points, zones, stops, addresses, or as names."
,Text,
,Text,
,Text,
,Text,
,Text,
SINGLE JOURNEY REQUEST POLICY,Class,"<font color=""#0f0f0f"">Criteria to be used to when computing and decorating results for a SINGLE JOURNEY </font>REQUEST."
SINGLE JOURNEY DELIVERY,Class,"A specialisation of PI DELIVERY to respond to one or more <font color=""#0f0f0f"">SINGLE JOURNEY </font>REQUESTs"
SINGLE JOURNEY REQUEST,Class,"A PI REQUEST to make an trip proposal of possible SINGLE JOURNEYs, according to a specified SINGLE JOURNEY TRIP REQUEST POLICY.
"
,Text,
SINGLE JOURNEY REQUEST FILTER,Class,Filter parameters used to limit the results of the SINGLE JOURNEY REQUEST.
,Text,
MOBILITY SERVICE REQUEST POLICY,Class,"<font color=""#0f0f0f"">Criteria to be used to when computing and decorating results for a MOBILITY SERVICE REQUEST.</font>"
MOBILITY SERVICE DELIVERY,Class,"A specialisation of PI DELIVERY to respond to a <font color=""#0f0f0f"">MOBILITY SERVICE REQUEST.</font>
"
MOBILITY SERVICE REQUEST,Class,"A PI REQUEST to find available <font color=""#0f0f0f"">MOBILITY SERVICEs.</font>
"
,Text,
,Text,
MOBILITY SERVICE GEOMETRY RESTRICTION,Class,Filter parameters used to limit the spatial results of the MOBILITY SERVICE REQUEST.
,Text,
MOBILITY SERVICE REQUEST FILTER,Class,Filter parameters used to limit the results of the MOBILITY SERVICE REQUEST.
ORGANISATION REQUEST,Class,A PI REQUEST to find information about one or more ORGANISATIONs.
ORGANISATION DELIVERY,Class,A specialisation of PI DELIVERY to respond to one or more ORGANISATION REQUESTs.
ORGANISATION REQUEST POLICY,Class,"<font color=""#0f0f0f"">Criteria to be used to when computing and decorating results for an ORGANISATION </font>REQUEST."
,Text,
,Text,
,Text,
,Text,
ORGANISATION REQUEST FILTER,Class,Filter parameters used to limit the results of the ORGANISATION REQUEST.
,Text,
,Text,
VEHICLE TYPE REQUEST POLICY,Class,"<font color=""#0f0f0f"">Criteria to be used to when computing and decorating results for a VEHICLE TYPE REQUEST.</font>"
VEHICLE TYPE DELIVERY,Class,"A specialisation of PI DELIVERY to respond to a <font color=""#0f0f0f"">VEHICLE TYPE REQUEST.</font><u> </u>
"
VEHICLE TYPE REQUEST,Class,"A PI REQUEST to find the available VEHICLE TYPEs<font color=""#0f0f0f""> and their features.</font>"
,Text,
,Text,
,Text,
VEHICLE TYPE REQUEST FILTER,Class,Filter parameters used to limit the results of the VEHICLE TYPE REQUEST.
AM Reusable Component MODELs (RC),Package,
Alternative Mode MODELs (AM),Package,
,Text,
AM Online Service MODEL,Package,
AM Responsibility VIEW,Package,
AM Mobility Service MODEL,Package,
TYPE OF MOBILITY SERVICE,Class,"<font color=""#0f0f0f"">Classification of MOBILITY SERVICE</font>
"
TAXI SERVICE,Class,A type of VEHICLE POOLING SERVICE where the service may be regulated according to a particular taxi policy.
,Note,typically car pooling offer
,Text,
VEHICLE RENTAL SERVICE,Class,A transport service offer related to VEHICLE RENTAL.
CHAUFFEURED VEHICLE SERVICE,Class,A type of VEHICLE POOLING SERVICE which can only be used by prior arrangement and where the driver has a commercial agreement with the user.
VEHICLE SHARING SERVICE,Class,A transport service offer related to VEHICLE SHARING.
,Note,"CYCLE SHARING
FREE -FLOATING CYCLE SHARING
MINICAB (VTC)
etc."
VEHICLE POOLING SERVICE,Class,A transport service that connects users (driver and passenger(s) to carry out SINGLE JOURNEYs.
,Note,"<b>Data Management Role</b>
Data Origination
Data Augmentation
Data Aggregation
Data Distribution
Data Ownership
Other
<b>
</b><b>Stakeholder Role</b>
Planning
Operation
Control
Data IPR Ownership
Entity Legal Ownership
Other"
COMMON VEHICLE SERVICE,Class,A transport service offer related to VEHICLEs.
MOBILITY SERVICE,Class,"<font color=""#445469"">An alternative mode transport service available over a widespread area<b>, </b>for example, car pooling, rental, etc. </font>NOTE: <font color=""#445469"">The service may be accessible at designated SITEs</font>"
GENERAL POOLING SERVICE,Class,A transport service that connects private vehicle owners and passenger(s) to carry out SINGLE JOURNEYs.
,Text,
TYPE OF RENTAL POLICY,Class,"<font color=""#0f0f0f"">Type of rental policy applying to hire, (e.g. specified drop-off place)</font>.
"
ONLINE SERVICE,Class,"Any remotely accessible service providing access to any mode of transportation and/or information related to transportation services.
"
,Note,This relationship describes the assignment of the management role of an ORGANISATION (here ONLINE SERVICE OPERATOR) to the ONLINE SERVICE.
,Text,
ONLINE SERVICE OPERATOR,Class,An ORGANISATION that provides online access to an ONLINE SERVICE without necessarily operating transport services.
ONLINE SERVICE OPERATOR ROLE,Class,"The role of an ORGANISATION that provides an online service to the customer who uses a product - in particular, the carrier role for public transport, but also possibly ancillary services such as catering, baggage handling, parking, etc.
"
,Text,
,Text,
,Note,"This MODEL makes it possible to assign to any of the AM Services ORGANISATIONs with a particular RESPONSIBILITY ROLE. Examples of different RESPONSIBILITY ROLEs in this context are: financing role, vehicle fleet owner role, fleet operator role, etc
"
,Note,MOBILITY SERVICE is an entity so can be assigned a RESPONSIBILITY SET
AM Topology MODELs,Package,
SJ Single Journey MODELs,Package,
AM Fare Management MODELs,Package,
AM Traveller Information Service MODELs,Package,
AM Explicit Frame MODELs,Package,
AM Event MODEL,Package,
AM Vehicle Meeting Point and Link MODEL,Package,
AM Meeting Place MODEL,Package,
AM Alternative Mode Connections VIEW,Package,
AM Vehicle Meeting Point Assignment MODEL,Package,
AM Vehicle Service Place Assignment MODEL,Package,
AM Service Coverage VIEW,Package,
AM Mobility Service Constraint Zone MODEL,Package,
VEHICLE TYPE ZONE RESTRICTION,Class,"Restriction on Zone use for a specific TRANSPORT TYPE 
"
,Text,
MOBILITY SERVICE CONSTRAINT ZONE,Class,"ZONE defining a restriction on used of a MOBILITY SERVICE, e.g. no entry, no drop off, etc."
Service Zone Use ALLOWED VALUES,Class,Allowed values for Zone Use.
TYPE OF ZONE RESTRICTION,Class,"A classification of restriction on a MOBILITY SERVICE CONSTRAINT ZONE, for example cannot pick up in zone, forbidden zone, must pick up in zone, etc, etc.
"
POOL OF VEHICLES,Class,"A set of vehicles assigned to a specific PARKING, PARKING AREAs, PARKING BAYs, or to a MOBILITY CONSTRAINT ZONE, that must be picked up and returned to the same area."
,Text,
VEHICLE MEETING POINT,Class,A POINT where drivers can pick up/drop off vehicles and passengers can board on (or alight from) vehicles in an ALTERNATIVE MODE OF OPERATION.
VEHICLE MEETING LINK,Class,A LINK between an ordered pair of VEHICLE MEETING POINTs.
,Text,
,Text,
,Text,
VEHICLE POOLING PARKING AREA,Class,"A dedicated space of a PARKING AREA for either vehicles active in a VEHICLE POOLING SERVICE or vehicles of pooling service users, where vehicles can be left for a long time.
"
VEHICLE MEETING PLACE,Class,"A place where vehicles and passengers meet to change mode of transportation, for boarding, alighting, pick-up, drop-off, etc."
VEHICLE POOLING MEETING PLACE,Class,"A meeting place for VEHICLE POOLING, designated or agreed by the vehicle pooling driver and the traveller, i.e., where drivers and passengers meet for pick up/ drop off. "
VEHICLE POOLING PARKING BAY,Class,"A dedicated spot to park either a vehicle active in a pooling service or a vehicle of a pooling service user.
"
VEHICLE SHARING PARKING BAY,Class,A spot in the PARKING AREA dedicated to vehicle sharing or rental.
VEHICLE SHARING PARKING AREA,Class,"A dedicated part of the PARKING AREA for vehicle sharing or rental which is composed of one or more VEHICLE SHARING PARKING BAYs.
"
,Note,Inherited from SITE COMPONENT.
,Text,
VEHICLE POOLING PLACE ASSIGNMENT,Class,"The allocation of a VEHICLE POOLING SERVICE to a VEHICLE POOLING PARKING AREA or a VEHICLE POOLING MEETING PLACE
"
,Constraint,
VEHICLE SHARING PLACE ASSIGNMENT,Class,"The allocation of a VEHICLE SHARING AREA to any vehicle sharing or rental service

"
TAXI SERVICE PLACE ASSIGNMENT,Class,"The allocation of a TAXI SERVICE to a TAXI PARKING AREA or a TAXI STAND.

"
,Text,
VEHICLE SERVICE PLACE ASSIGNMENT,Class,The allocation of a VEHICLE SERVICE to a SITE ELEMENT or a VEHICLE MEETING PLACE.
,Text,
,Text,
VEHICLE MEETING POINT ASSIGNMENT,Class,The allocation of a VEHICLE MEETING POINT to a SITE COMPONENT (for vehicle pooling or vehicle sharing purposes) 
,Note,"Can be
- a vehicle pick up/drop off point (for self-drive and carpooling drivers)
- a meeting point between passenger and vehicle to board or alight
"
,Note,"The exclusion expresses the fact that if one CONNECTION END is assigned to a SCHEDULED STOP POINT, the other CONNECTION END may be any SITE COMPONENT except the STOP PLACE assigned to the SCHEDULED STOP POINT."
,Note,This represents a modal transfer between Conventional Mode and Alternative Modes 
,Constraint,Exclusion
,Constraint,exclusion
,Constraint,Exclusion
,Note,"This represents a PARKING as a ""Park and Ride""opportunity: one end of the CONNECTION is a PARKING, the other end a public transport STOP PLACE"
,Note,will be used to qualify a Park and Ride
,Text,
SJ Single Journey Route MODEL,Package,
SJ Single Journey Service MODEL,Package,
,Note,"Characterising a set of road elements related to a ROUTE LINK, providing information for a certain MODE like:
<ul>
<li>LANE PRIORITY</li><li>LANE RESTRICTION</li><li>SHARED LANE</li><li>etc,</li></ul><p/>"
SINGLE JOURNEY PATH,Class,"An ordered list of POINTs IN SINGLE JOURNEY PATH on a single ROUTE, describing the pattern of working for an ALTERNATIVE MODE service.
NOTE1: A SINGLE JOURNEY PATH may pass through the same POINT more than once.
NOTE2: SINGLE JOURNEY PATH are mostly used to defined PATHs used by several SINGLE JOURNEYs.
"
,Text,
VEHICLE MEETING POINT IN PATH,Class,One VEHICLE MEETING POINT that can be the start or the end of a SINGLE JOURNEY PATH.
,Note,For ALTERNATIVE MODE OF OPERATION: calendar day
GROUP OF SINGLE JOURNEYS,Class,"<font color=""#0f0f0f"">A set of SINGLE JOURNEYs grouped together for a functional purpose. </font>"
SINGLE JOURNEY,Class,"The planned movement of any type of vehicle from the start point to the end point of a JOURNEY on a specified route.

"
,Note,For ALTERNATIVE MODE OF OPERATION: calendar day
,Text,
