Name,Type,Notes
ENTRANCE ATTENTION METHOD,Class,A classification of method used to invoke opening of ENTRANCE EQUIPMENT.
ENTRANCE EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing an equipment for an ENTRANCE (door, barrier, revolving door, etc.). "
CROSSING EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing a road crossing for pedestrians (zebra, pedestrian lights, acoustic device sensors, tactile guide strips, etc.). 
"
ROUGH SURFACE,Class,"Specialisation of ACCESS EQUIPMENT for rough surfaces, giving properties of surface texture, mainly for impaired person information. "
,Text,
ACCESS EQUIPMENT,Class,"Specialisation of PLACE EQUIPMENT describing common properties of equipment with which to access a SITE (e.g., lifts, entrances, stairs, ramps, etc.).

"
QUEUING EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing queuing equipment or features.
"
PLACE LIGHTING,Class,"Specialisation of PLACE EQUIPMENT describing the lighting (e.g., always on, etc.).
"
RAMP EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing a ramp (provides ramp characteristics like length, gradient, etc.)."
TYPE OF SURFACE,Class,A classification for ROUGH SURFACE types.
,Text,
LIFT EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing a lift (depth, maximum load, etc.).
"
TRAVELATOR EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing a travelator (provides attributes such as speed, energy saving, etc.). "
TYPE OF HANDRAIL,Class,"A classification of a handrail (one side, both sides, continuous, etc.)."
ESCALATOR EQUIPMENT,Class,Specialisation of STAIR EQUIPMENT describing an ESCALATOR.
STAIRCASE EQUIPMENT,Class,"Specialisation of STAIR EQUIPMENT describing a staircase.
"
STAIR EQUIPMENT,Class,"Specialisation of ACCESS EQUIPMENT describing a stepped feature (stair, escalator, staircase, etc.)"
LIFT CALL EQUIPMENT,Class,"Specialisation of PLACE ACCESS EQUIPMENT describing means of calling a lift (button height, buttons, etc.)."
,Text,
,Text,
SIGN EQUIPMENT,Class,"Specialisation of PLACE EQUIPMENT describing common properties of a sign (heading signs, etc.)."
GENERAL SIGN,Class,"Specialisation of SIGN EQUIPMENT describing a sign which is neither a HEADING SIGN nor a PLACE SIGN.

"
HEADING SIGN,Class,"Specialisation of SIGN EQUIPMENT describing a sign showing a heading; provides information such as DIRECTION name, LINE name, line number etc.
"
PLACE SIGN,Class,Specialisation of SIGN EQUIPMENT describing a sign that shows the name of a STOP PLACE.
,Text,
AVAILABILITY OF ASSISTANCE,Class,"Summary indication of when assistance is available, e.g., always, never, staff hours only, peak times, etc. 
"
LOCAL SERVICE,Class,"A named service relating to the use of the SITE or transport services at a particular location, for example porterage, assistance for disabled users, booking offices, etc.
NOTE1: The service may have a VALIDITY CONDITION associated with it.
NOTE2: A LOCAL SERVICE is treated as a form of non-material EQUIPMENT."
ASSISTANCE SERVICE,Class,"Specialisation of LOCAL SERVICE describing assistance services, providing information such as language, accessibility trained staff, etc."
TYPE OF EMERGENCY SERVICE,Class,"A classification of emergency services (e.g., police, first aid, SOS point, CCTV, etc.)."
,Text,
CUSTOMER SERVICE,Class,"Specialisation of LOCAL SERVICE describing common properties of customer services, (e.g., lost property service, meeting point, complaints service, etc.)."
LOST PROPERTY SERVICE,Class,Specialisation of CUSTOMER SERVICE of describing lost property services
TYPE OF LOCAL SERVICE,Class,A generic (abstract) classification of LOCAL SERVICEs.
LEFT LUGGAGE SERVICE,Class,"Specialisation of LOCAL SERVICE describing left luggage amenities; provides information such as self-service locker, left luggage office,, etc."
LUGGAGE SERVICE,Class,"Specialisation of LOCAL SERVICE describing luggage carrying services (e.g., luggage trolley, free to use, etc.)."
TICKETING SERVICE,Class,"Specialization of LOCAL SERVICE describing ticketing services, such as a ticket counter, online purchase, etc.; also associated with payment method and TYPE OF TICKET."
TYPE OF ACCESSIBILITY TOOLS,Class,"A classification of ACCESSIBILITY TOOLS used by or available from ASSISTANCE SERVICE (e.g., wheelchair, walking stick, audio navigator, visual navigator, etc.)"
MEETING POINT SERVICE,Class,"Specialisation of CUSTOMER SERVICE describing a meeting point (provides characteristics such as description, label, etc.)."
COMPLAINTS SERVICE,Class,Specialisation of CUSTOMER SERVICE describing complaint services.
TYPE OF ASSISTANCE SERVICE,Class,"A classification of an ASSISTANCE SERVICE (e.g., boarding assistance, onboard assistance, porterage, foreign language, sign language translation, etc.)."
TYPE OF STAFFING,Class,"A classification for the availability of the STAFF associated with an ASSISTANCE SERVICE (e.g., full time, part time)"
,Text,
MONEY SERVICE,Class,"Specialisation of LOCAL SERVICE describing available money services (e.g., bureau de change, ATM, etc.)."
TYPE OF CATERING SERVICE,Class,"A classification of CATERING SERVICE (e.g., beverage vending machine, buffet, food vending machine, restaurant, snacks, trolley service, no beverages available, no food available)."
,Text,
TYPE OF RETAIL SERVICE,Class,"A classification of RETAIL SERVICE (e.g., food, newspaper tobacco, health hygiene beauty, fashion accessories, bank finance insurance, tourism, photo booth)"
TYPE OF COMMUNICATION SERVICE,Class,"A classification of COMMUNICATION SERVICE (e.g., free wifi, public wifi, phone, mobile coverage, internet, video entertainment, audio entertainment, post box, post office, business services)."
CATERING SERVICE,Class,"Specialisation of LOCAL SERVICE describing available catering services.
"
COMMUNICATION SERVICE,Class,Specialisation of LOCAL SERVICE describing available communication services.
TYPE OF MONEY SERVICE,Class,"A classification of MONEY SERVICE (e.g., as cash machine, bank, insurance, bureau de change),"
TYPE OF HIRE SERVICE,Class,"A classification of HIRE SERVICEs (e.g., as car hire, motorcycle hire, cycle hire, recreational device hire)."
RETAIL SERVICE,Class,Specialisation of LOCAL SERVICE describing available retail services.
HIRE SERVICE,Class,"Specialisation of LOCAL SERVICE describing the types of available hire services (e.g., cycle hire, car hire)."
,Text,
CYCLE STORAGE EQUIPMENT,Class,A specialisation of PLACE EQUIPMENT describing cycle parking equipment. 
,Text,
TYPE OF CYCLE STORAGE EQUIPMENT,Class,"A classification of CYCLE STORAGE EQUIPMENT (e.g., racks, bars, railings, etc.)"
VEHICLE RELEASE EQUIPMENT,Class,A specialisation of INSTALLED EQUIPMENT describing equipment for releasing a vehicle from a lock so it can be used.
,Text,
,Text,
ASSISTANCE BOOKING SERVICE,Class,A specialisation of LOCAL SERVICE providing information about how to book assistance for wheelchair and disabled users.
,Text,
TYPE OF PARKING USER,Class,"A classification of a type of parking user, e.g., disabled, season ticket holder, anonymous, etc."
PARKING COMPONENT,Class,"Generic COMPONENT of a PARKING (e.g., PARKING AREA or PARKING BAY)"
,Text,
PARKING,Class,"Designated locations for leaving vehicles such as cars, motorcycles and bicycles."
,Text,
